Player,Roster Position,%Drafted,FPTS
Jayson Tatum,CPT,0.8297,85.88
Bam Adebayo,CPT,0.5782,89.25
Jaylen Brown,UTIL,0.5681,48.5
Jimmy Butler,UTIL,0.4983,38
Goran Dragic,UTIL,0.4685,28.75
Daniel Theis,UTIL,0.468,16.25
Duncan Robinson,UTIL,0.4188,28
Tyler Herro,UTIL,0.4134,33.75
Marcus Smart,UTIL,0.4033,38
Jae Crowder,UTIL,0.3667,22.5
Enes Kanter,UTIL,0.2502,8
Kemba Walker,UTIL,0.2384,31
Gordon Hayward,UTIL,0.217,16.25
Andre Iguodala,UTIL,0.1039,26.25
Brad Wanamaker,UTIL,0.0387,1
Robert Williams,UTIL,0.029,4.5
Kelly Olynyk,UTIL,0.0273,0
Kendrick Nunn,UTIL,0.0101,0
Derrick Jones Jr.,UTIL,0.0071,0
Grant Williams,UTIL,0.0067,5.75
Solomon Hill,UTIL,0.0046,1.25
Javonte Green,UTIL,0.0038,0
Semi Ojeleye,UTIL,0.0029,0
Meyers Leonard,UTIL,0.0021,0
Tacko Fall,UTIL,0.0013,0
Vincent Poirier,UTIL,0.0004,0
Romeo Langford,UTIL,0.0004,0